year,winner_name,category,work_title,data_source
1931,"Robert Frost","Poetry","Collected Poems of Robert Frost","Wikidata"
1930,"Conrad Aiken","Poetry","","Wikidata"
1930,"Marc Connelly","Drama","The Green Pastures","Wikidata"
1930,"The Green Pastures","Drama","","Wikidata"
1929,"John Brown's Body","Poetry","","Wikidata"
1929,"Elmer Rice","Drama","Street Scene","Wikidata"
1929,"Stephen Vincent Benét","Poetry","","Wikidata"
1929,"Street Scene","Drama","","Wikidata"
1928,"Tristram","Poetry","","Wikidata"
1928,"Edwin Arlington Robinson","Poetry","","Wikidata"
1928,"Strange Interlude","Drama","","Wikidata"
1928,"Eugene O'Neill","Drama","Strange Interlude","Wikidata"
1927,"Fiddler's Farewell","Poetry","","Wikidata"
1927,"Leonora Speyer","Poetry","Fiddler's Farewell","Wikidata"
1927,"In Abraham's Bosom","Drama","","Wikidata"
1927,"Paul Green","Drama","In Abraham's Bosom","Wikidata"
1926,"Amy Lowell","Poetry","","Wikidata"
1926,"Craig's Wife","Drama","","Wikidata"
1926,"George Kelly","Drama","Craig's Wife","Wikidata"
1925,"The Man Who Died Twice","Poetry","","Wikidata"
1925,"Sidney Howard","Drama","They Knew What They Wanted","Wikidata"
1925,"Edwin Arlington Robinson","Poetry","The Man Who Died Twice","Wikidata"
1925,"They Knew What They Wanted","Drama","","Wikidata"
1924,"Frank W. Buxton","General","","Wikidata"
1924,"Hatcher Hughes","Drama","","Wikidata"
1924,"Robert Frost","Poetry","New Hampshire","Wikidata"
1924,"Hell-Bent fer Heaven","Drama","","Wikidata"
1923,"Edna St. Vincent Millay","Poetry","","Wikidata"
1923,"New Hampshire","Poetry","","Wikidata"
1923,"James Silas Pooler Jr.","General","","Wikidata"
1923,"Owen Davis","Drama","Icebound","Wikidata"
1923,"A Few Figs from Thistles","Poetry","","Wikidata"
1923,"Icebound","Drama","","Wikidata"
1922,"Anna Christie","Drama","","Wikidata"
1922,"Edwin Arlington Robinson","Poetry","Collected Poems","Wikidata"
1922,"Eugene O'Neill","Drama","Anna Christie","Wikidata"
1921,"Zona Gale","Drama","Miss Lulu Bett","Wikidata"
1921,"Miss Lulu Bett","Drama","","Wikidata"
1920,"Beyond the Horizon","Drama","","Wikidata"
1920,"Eugene O'Neill","Drama","Beyond the Horizon","Wikidata"
1919,"Carl Sandburg","Poetry","Cornhuskers","Wikidata"
1919,"Cornhuskers","Poetry","","Wikidata"
1919,"Margaret Widdemer","Poetry","The Old Road to Paradise","Wikidata"
1918,"Sara Teasdale","Poetry","Love Songs","Wikidata"
1918,"Love Songs","Poetry","","Wikidata"
1918,"Henry Beetle Hough","General","","Wikidata"
1918,"Minna Lewinson","General","","Wikidata"
1918,"Jesse Lynch Williams","Drama","Why Marry?","Wikidata"
1918,"Why Marry?","Drama","","Wikidata"
Unknown,"Lois Lane","General","","Wikidata"
Unknown,"Kathy Chen","General","","Wikidata"
Unknown,"Fahmida Azim","General","How I escaped a Chinese internment camp","Wikidata"
Unknown,"Sandhya Kambhampati","General","","Wikidata"
Unknown,"The Complete Maus","General","","Wikidata"
Unknown,"Maus: A Survivor's Tale II: And Here My Troubles Began","General","","Wikidata"
Unknown,"Javier Bauluz","General","","Wikidata"
Unknown,"Amir Cohen","General","","Wikidata"
Unknown,"Tessa Hulls","General","","Wikidata"
Unknown,"John Edward Mack","General","","Wikidata"
Unknown,"Stephanie Sinclair","General","","Wikidata"
Unknown,"Ira Glass","General","","Wikidata"
Unknown,"John Moore","General","","Wikidata"
Unknown,"Anthony Del Col","General","How I escaped a Chinese internment camp","Wikidata"
Unknown,"The Sacramento Bee","General","","Wikidata"
Unknown,"The Press Democrat","General","","Wikidata"
Unknown,"Alex S. Jones","General","","Wikidata"
Unknown,"The Baltimore Sun","General","","Wikidata"
Unknown,"Stephanie McCrummen","General","","Wikidata"
Unknown,"Maus","General","","Wikidata"
Unknown,"Lindsay and Crouse","General","","Wikidata"
Unknown,"Stephen Schiff","General","","Wikidata"
Unknown,"An Unbelievable Story of Rape","General","","Wikidata"
Unknown,"James Scott","General","","Wikidata"
Unknown,"Ron Tarver","General","","Wikidata"
Unknown,"Dar Yasin","General","","Wikidata"
Unknown,"Channi Anand","General","","Wikidata"
Unknown,"Mukhtar Khan","General","","Wikidata"
Unknown,"The New York Times","General","","Wikidata"
Unknown,"Ronald Glenn Callvert","General","","Wikidata"
Unknown,"Rudolph F. Zallinger","General","","Wikidata"
