year,winner_name,category,work_title,data_source
1926,"Craig's Wife","Drama","","Wikidata"
1926,"George Kelly","Drama","Craig's Wife","Wikidata"
1925,"Sidney Howard","Drama","They Knew What They Wanted","Wikidata"
1925,"They Knew What They Wanted","Drama","","Wikidata"
1924,"Hatcher Hughes","Drama","","Wikidata"
1924,"Hell-Bent fer Heaven","Drama","","Wikidata"
1923,"Owen Davis","Drama","Icebound","Wikidata"
1923,"Icebound","Drama","","Wikidata"
1922,"Anna Christie","Drama","","Wikidata"
1922,"Eugene O'Neill","Drama","Anna Christie","Wikidata"
1921,"Zona Gale","Drama","Miss Lulu Bett","Wikidata"
1921,"Miss Lulu Bett","Drama","","Wikidata"
1920,"Beyond the Horizon","Drama","","Wikidata"
1920,"Eugene O'Neill","Drama","Beyond the Horizon","Wikidata"
1918,"Jesse Lynch Williams","Drama","Why Marry?","Wikidata"
1918,"Why Marry?","Drama","","Wikidata"
